"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","149.137.44.121","192.168.43.100","TCP","54","443  >  61943 [ACK] Seq=1 Ack=1 Win=38165 Len=0"
"2","0.007887","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
"3","0.008238","149.137.44.121","192.168.43.100","UDP","287","8801  >  63805 Len=245"
"4","0.018589","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"5","0.039928","149.137.44.121","192.168.43.100","UDP","281","8801  >  63805 Len=239"
"6","0.040306","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"7","0.040306","149.137.44.121","192.168.43.100","UDP","1082","8801  >  63804 Len=1040"
"8","0.040306","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"9","0.040647","192.168.43.100","149.137.44.121","UDP","180","63804  >  8801 Len=138"
"10","0.058064","149.137.44.121","192.168.43.100","UDP","285","8801  >  63805 Len=243"
"11","0.058671","149.137.44.121","192.168.43.100","UDP","278","8801  >  63805 Len=236"
"12","0.076940","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"13","0.077235","149.137.44.121","192.168.43.100","UDP","271","8801  >  63805 Len=229"
"14","0.090084","149.137.44.121","192.168.43.100","UDP","1074","8801  >  63804 Len=1032"
"15","0.100748","192.168.43.100","149.137.44.121","UDP","69","63804  >  8801 Len=27"
"16","0.104036","149.137.44.121","192.168.43.100","UDP","104","8801  >  63804 Len=62"
"17","0.118919","149.137.44.121","192.168.43.100","UDP","275","8801  >  63805 Len=233"
"18","0.119221","149.137.44.121","192.168.43.100","UDP","303","8801  >  63805 Len=261"
"19","0.138964","149.137.44.121","192.168.43.100","UDP","318","8801  >  63805 Len=276"
"20","0.150045","149.137.44.121","192.168.43.100","UDP","69","8801  >  63804 Len=27"
"21","0.151716","149.137.44.121","192.168.43.100","UDP","1082","8801  >  63804 Len=1040"
"22","0.157152","149.137.44.121","192.168.43.100","UDP","112","8801  >  63804 Len=70"
