No.;Time;;;time 2;time 1;delay;;;delay2;delay 1;jitter
1;0;0;;0,007887;0;0,007887;;;0,000351;0,007887;-0,007536
2;0,007887;0,007887;;0,008238;0,007887;0,000351;;;0,010351;0,000351;0,01
3;0,008238;0,008238;;0,018589;0,008238;0,010351;;;0,021339;0,010351;0,010988
4;0,018589;0,018589;;0,039928;0,018589;0,021339;;;0,000378;0,021339;-0,020961
5;0,039928;0,039928;;0,040306;0,039928;0,000378;;;0;0,000378;-0,000378
6;0,040306;0,040306;;0,040306;0,040306;0;;;0;0;0
7;0,040306;0,040306;;0,040306;0,040306;0;;;0,000341;0;0,000341
8;0,040306;0,040306;;0,040647;0,040306;0,000341;;;0,017417;0,000341;0,017076
9;0,040647;0,040647;;0,058064;0,040647;0,017417;;;0,000607;0,017417;-0,01681
10;0,058064;0,058064;;0,058671;0,058064;0,000607;;;0,018269;0,000607;0,017662
11;0,058671;0,058671;;0,07694;0,058671;0,018269;;;0,000295;0,018269;-0,017974
12;0,07694;0,07694;;0,077235;0,07694;0,000295;;;0,012849;0,000295;0,012554
13;0,077235;0,077235;;0,090084;0,077235;0,012849;;;0,010664;0,012849;-0,002185
14;0,090084;0,090084;;0,100748;0,090084;0,010664;;;0,003288;0,010664;-0,007376
15;0,100748;0,100748;;0,104036;0,100748;0,003288;;;0,014883;0,003288;0,011595
16;0,104036;0,104036;;0,118919;0,104036;0,014883;;;0,000302;0,014883;-0,014581
17;0,118919;0,118919;;0,119221;0,118919;0,000302;;;0,019743;0,000302;0,019441
18;0,119221;0,119221;;0,138964;0,119221;0,019743;;;0,011081;0,019743;-0,008662
19;0,138964;0,138964;;0,150045;0,138964;0,011081;;;0,001671;0,011081;-0,00941
20;0,150045;0,150045;;0,151716;0,150045;0,001671;;;0,005436;0,001671;0,003765
21;0,151716;0,151716;;0,157152;0,151716;0,005436;;;0,009867;0,005436;0,004431
22;0,157152;0,157152;;0,167019;0,157152;0,009867;;;0,000461;0,009867;-0,009406
23;0,167019;0,167019;;0,16748;0,167019;0,000461;;;0,015412;0,000461;0,014951
24;0,16748;0,16748;;0,182892;0,16748;0,015412;;;0,000343;0,015412;-0,015069
25;0,182892;0,182892;;0,183235;0,182892;0,000343;;;0,003036;0,000343;0,002693
26;0,183235;0,183235;;0,186271;0,183235;0,003036;;;0,020554;0,003036;0,017518
27;0,186271;0,186271;;0,206825;0,186271;0,020554;;;0,010091;0,020554;-0,010463
28;0,206825;0,206825;;0,216916;0,206825;0,010091;;;0,003108;0,010091;-0,006983
29;0,216916;0,216916;;0,220024;0,216916;0,003108;;;0,000349;0,003108;-0,002759
30;0,220024;0,220024;;0,220373;0,220024;0,000349;;;0;0,000349;-0,000349
31;0,220373;0,220373;;0,220373;0,220373;0;;;0,052306;0;0,052306
